Log Matlab com RI-PMI-CQI

>> EndToEndCSIFeedback
Number of CSI-RS ports: 8.

Simulating transmission scheme 1 (8x4) and SCS=15kHz with CDL-C channel at -5dB SNR for 20 10ms frame(s)
Using RI, PMI, and CQI as CSI feedback.

( 0.50%) NSlot= 0: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). Using initial CSI. CSI-RS transmission. 
( 1.00%) NSlot= 1: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
( 1.50%) NSlot= 2: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
( 2.00%) NSlot= 3: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
( 2.50%) NSlot= 4: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
( 3.00%) NSlot= 5: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
( 3.50%) NSlot= 6: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
( 4.00%) NSlot= 7: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
( 4.50%) NSlot= 8: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
( 5.00%) NSlot= 9: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
( 5.50%) NSlot=10: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). CSI-RS transmission. 
( 6.00%) NSlot=11: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
( 6.50%) NSlot=12: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321). Using CSI from NSlot= 0.
( 7.00%) NSlot=13: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
( 7.50%) NSlot=14: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
( 8.00%) NSlot=15: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
( 8.50%) NSlot=16: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
( 9.00%) NSlot=17: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
( 9.50%) NSlot=18: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(10.00%) NSlot=19: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(10.50%) NSlot=20: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). CSI-RS transmission. 
(11.00%) NSlot=21: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(11.50%) NSlot=22: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321). Using CSI from NSlot=10.
(12.00%) NSlot=23: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(12.50%) NSlot=24: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(13.00%) NSlot=25: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(13.50%) NSlot=26: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(14.00%) NSlot=27: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(14.50%) NSlot=28: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(15.00%) NSlot=29: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(15.50%) NSlot=30: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). CSI-RS transmission. 
(16.00%) NSlot=31: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(16.50%) NSlot=32: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321). Using CSI from NSlot=20.
(17.00%) NSlot=33: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(17.50%) NSlot=34: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(18.00%) NSlot=35: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(18.50%) NSlot=36: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(19.00%) NSlot=37: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
